#### ELK GROVE VILLAGE 2.2 WSW IL US
##Network	Station_ID	Date	Total_Precip_mm	Snowfall_Depth_mm	Liquid_Snowfall_mm	Total_Precip_inches
COCORAHS	US1ILCK0075	2007-05-07	0	0	-9999	0.0
COCORAHS	US1ILCK0075	2007-05-08	0	0	-9999	0.0
COCORAHS	US1ILCK0075	2007-05-09	5	0	-9999	0.02
COCORAHS	US1ILCK0075	2007-05-10	0	0	-9999	0.0
COCORAHS	US1ILCK0075	2007-05-11	0	0	-9999	0.0
COCORAHS	US1ILCK0075	2007-05-12	0	0	-9999	0.0
COCORAHS	US1ILCK0075	2007-05-13	0	0	-9999	0.0
COCORAHS	US1ILCK0075	2007-05-14	0	0	-9999	0.0
COCORAHS	US1ILCK0075	2007-05-15	0	0	-9999	0.0
COCORAHS	US1ILCK0075	2007-05-16	142	0	-9999	0.56
COCORAHS	US1ILCK0075	2007-05-17	20	0	-9999	0.08
COCORAHS	US1ILCK0075	2007-05-18	0	0	-9999	0.0
COCORAHS	US1ILCK0075	2007-05-19	0	0	-9999	0.0
COCORAHS	US1ILCK0075	2007-05-20	0	0	-9999	0.0
COCORAHS	US1ILCK0075	2007-05-21	58	0	-9999	0.23
COCORAHS	US1ILCK0075	2007-05-22	0	0	-9999	0.0
COCORAHS	US1ILCK0075	2007-05-23	0	0	-9999	0.0
COCORAHS	US1ILCK0075	2007-05-24	0	0	-9999	0.0
COCORAHS	US1ILCK0075	2007-05-25	28	0	-9999	0.11
COCORAHS	US1ILCK0075	2007-05-26	135	0	-9999	0.53
COCORAHS	US1ILCK0075	2007-05-27	140	0	-9999	0.55
COCORAHS	US1ILCK0075	2007-05-28	0	0	-9999	0.0
COCORAHS	US1ILCK0075	2007-05-29	0	0	-9999	0.0
COCORAHS	US1ILCK0075	2007-05-30	0	0	-9999	0.0
COCORAHS	US1ILCK0075	2007-05-31	0	0	-9999	0.0
COCORAHS	US1ILCK0075	2007-06-01	0	0	-9999	0.0
COCORAHS	US1ILCK0075	2007-06-02	56	0	-9999	0.22
COCORAHS	US1ILCK0075	2007-06-03	0	0	-9999	0.0
COCORAHS	US1ILCK0075	2007-06-04	71	0	-9999	0.28
COCORAHS	US1ILCK0075	2007-06-05	249	0	-9999	0.98
